ENGLISH-1,ENGLISH-2,ENG DESCRIPTION,MALAYALAM-1,MALAYALAM-2,ML DESCRIPTION
educator,,,,,
effect,,,വിളവ്,,
effective,,,,,
effectively,,,,,
efficiency,,,,,
efficient,,,,,
effort,,,മുതിര്‍ച്ച,,
egg,,,മുട്ട,,
eight,,,എട്ട്,,
either,,,രണ്ടിലൊന്ന്,,
elderly,,,മുതിര്‍ന്നവര്‍,,
elect,,,തിരഞ്ഞെടുക്കുക,,
election,,,തിരഞ്ഞെടുപ്പ്,,
electric,,,മിന്നാക്ക,,
electricity,,,മിന്നാക്കം,,
electronic,,,മിന്നുറു,,
element,,,,,
elementary,,,അടിത്തറ,,
elevator,,,ഏറ്റി/ഏറ്റുമുറി,,
eliminate,,,തുടച്ചുനീക്കുക/ഇല്ലാതാക്കുക,,
elite,,,മേല്‍ത്തരം,,
else,,,അല്ലെങ്കില്‍,,
elsewhere,,,മറ്റെവിടെയോ,,
embrace,,,പുണരുക,,
emerge,,,വെളിപ്പെടുക/ഉരുത്തിരിയുക,,
emergency,,,തിടുക്കം,,
emission,,,പുറന്തള്ളല്‍,,
emotion,,,തിണ,,
emotional,,,തിണപ്പെട്ട,,
emphasis,,,ഊന്നല്‍,,
emphasize,,,ഊന്നല്‍കൊടുക്കുക,,
employ,,,തൊഴില്‍കൊടുക്കുക,,
employee,,,തൊഴിലാളി,,
employer,,,തൊഴിലുടമ,,
employment,,,തൊഴില്‍,,
empty,,,ഒഴിഞ്ഞ,,
enable,,,ഇടയുണ്ടാക്കുക,,
enclosure,,,വേലികെട്ട്,,
encounter,,,നേരിടുക,,
encourage,,,ചുണയ്ക്കുക,,
end,,,ഒടുക്കം/അറുതി,,
enemy,,,എതിരാളി,,
energy,,,നേറ്റി,,
enhance,,,മെച്ചപ്പെടുത്തുക,,
enhancement,,,മെച്ചപ്പെടുത്തല്‍,,
enjoy,,,,,
enormous,,,കൂറ്റന്‍,,
enough,,,മതിയായ/വേണ്ടത്ര,,
ensure,,,ഉറപ്പാക്കുക,,
enter,,,കയറുക,,
enterprise,,,,,
entertainment,,,നേരമ്പോക്ക്,,
enthusiasm,,,ചുറുചുറുക്ക്,,
entire,,,മുഴു,,
entirely,,,മുഴുവനായി,,
entrance,,,കയറ്റം,,
entry,,,കയറുക,,
environment,,,ചുറ്റുപാട്,,
environmental,,,,,
episode,,,ഓട്ടം,,
equal,,,,,
equally,,,,,
equation,,,കണക്കുരുവം,,
equilibrium,,,,,
equipment,,,,,
era,,,നീൾനാൾ,,
error,,,പിശക്,,
espionage,,,ഒറ്റാടല്‍,,
ethnic,,,,,
European,,,യൂറോപ്പിയ/എരോപ്പിയ,,
evaluate,,,മതിപ്പിടുക,,
evaluation,,,മതിപ്പിടല്‍,,
even,,,ഒപ്പം,,
evening,,,വൈകുന്നേരം/അന്തി,,
event,,,പരിപാടി,,
eventually,,,ഒടുവില്‍,,
ever,,,ഒരിക്കലും,,
every,,,എല്ലാ/ഓരോ,,
everybody,,,എല്ലാവരും,,
everyday,,,എന്നും/നാള്‍തോറും,,
everyone,,,എല്ലാവരും,,
everything,,,എല്ലാം,,
everywhere,,,എല്ലായിടത്തും/പരക്കെ,,
evidence,,,തെളിവ്,,
evil,,,തിന്മ,,
evolution,,,വളര്‍ച്ച,,
evolve,,,വളരുക,,
exact,,,അതേപടി,,
exactly,,,അത് തന്നെ,,
examination,,,എഴുത്തുനോട്ടം,,
examine,,,എഴുത്തുനോക്കുക,,
example,,,എടുത്തുകാട്ടല്‍,,
exceed,,,കവിയുക,,
excellent,,,മികച്ച,,
except,,,ഒഴികെ,,
exception,,,ഒഴിവാക്കുക,,
exchange,,,കൈമാറുക,,
exciting,,,,,
executive,,,,,
exercise,,,മെയ്യനക്കം/ചെലുത്തല്‍,,
exert,,,ചെലുത്തുക,,
exhibit,,,പുറംകാണിപ്പ്/വെളികാട്ടല്‍,,
exhibition,,,പുറംകാണിപ്പ്//വെളികാട്ടല്‍,,
exist,,,നിലനില്‍ക്കുക,,
existence,,,നിലനില്‍പ്പ്‌,,
existing,,,നിലവിലെ,,
expand,,,വിരിയുക/വിടരുക,,
expansion,,,വിരിവ്,,
expect,,,ഉറ്റുനോക്കുക,,
expectation,,,ഉറ്റുനോട്ടം,,
expense,,,ചെലവ്,,
expensive,,,വിലയേറിയ,,
experience,,,കണ്ടറിവ്/തഴക്കം/കണ്ടറിയുക,,
experiment,,,തുനിവ്,,
expert,,,മികവാളി,,
expertise,,,പാടവം,,
explain,,,കൂറുക,,
explanation,,,കൂറ്റല്‍,,
explode,,,പൊട്ടിത്തെറിക്കുക,,
explore,,,,,
export,,,കയറ്റുമതി,,
explosion,,,പൊട്ടിത്തെറി,,
expose,,,വെളിപ്പെടുത്തുക,,
exposure,,,വെളിപ്പെടുത്തല്‍,,
express,,,പുറത്തുകാട്ടുക,,
expression,,,പുറത്തുകാട്ടല്‍,,
extend,,,നീട്ടുക,,
extension,,,നീട്ടല്‍,,
extensive,,,പരക്കേയുള്ള,,
extent,,,അളവ്,,
external,,,പുറമേയുള്ള,,
extra,,,കൂടുതല്‍,,
extraordinary,,,,,
extreme,,,അതിരറ്റ,,
extremely,,,വളരെ/അതിരറ്റുവോളം,,
eye,,,കണ്ണ്,,
fabric,,,തുണി,,
face,,,മോന്ത/മുഞ്ഞി,,
facility,,,,,
fact,,,നിജം,,
factor,,,,,
factor,,,,,
factory,,,,,
faculty,,,,,
fade,,,മങ്ങുക,,
fail,,,പിഴയ്ക്കുക,,
failure,,,പിഴവ്,,
fair,,,നെറിവോടെയുള്ള,,
fairly,,,ഏറെക്കുറെ,,
faith,,,,,
fall,,,വീഴ്ച,,
(false),,,തെറ്റ്,,
familiar,,,അറിയാവുന്ന,,
family,,,കുടുംബം,,
famine,,,പട്ടിണി,,
famous,,,പേരുകേട്ട,,
fan,,,വിശറി,,
fantasy,,,,,
far,,,അകലെ,,
farm,,,ഉഴവുനിലം,,
farmer,,,ഉഴവര്‍,,
fashion,,,ഉടുപ്പുമുറ,,
fast,,,വിരവോടെ,,
fat,,,തടിച്ച/കൊഴുത്ത,,
fate,,,,,
father,,,തന്ത/അപ്പന്‍/അച്ചന്‍,,
fatigue,,,തളര്‍ച്ച,,
fault,,,പിഴവ്,,
favor,,,ഇമ്പപ്പെടുക,,
favorite,,,ഏറ്റവും ഇമ്പമുള്ള,,
fear,,,പേടി,,
feature,,,,,
federal,,,പകുപ്പുകോയ്മ,,
fee,,,തുക,,
feed,,,തീറ്റിക്കുക,,
feel,,,തോന്നുക,,
feeling,,,തോന്നല്‍,,
fellow,,,കൂട്ടാളി,,
female,,,പെണ്ണ്,,
fence,,,വേലി,,
few,,,കുറവ്,,
fewer,,,അതിനേക്കാള്‍ കുറവ്,,
fiber,,,നാര്,,
fiction,,,കെട്ടുകഥ,,
field,,,കളിനിലം,,
fifteen,,,പതിനഞ്ച്,,
fifth,,,അഞ്ചാമത്തെ,,
fifty,,,അന്‍പത്,,
fight,,,പോര്,,
fighter,,,പോരാളി,,
fighting,,,പൊരുതുക,,
figure,,,പടം,,
file,,,കയല്‍,,
fill,,,നിറയ്ക്കുക,,
film,,,പടം,,
filter,,,അരിപ്പ,,
final,,,ഒടുക്കത്തെ,,
finally,,,ഒടുക്കം,,
finance,,,പണം/മുതല്‍,,
financial,,,പണപ്പാട്,,
find,,,കണ്ടുപിടിക്കുക,,
finding,,,കണ്ടുപിടിക്കുന്നു,,
fine,,,കുഴപ്പമില്ല,,
finger,,,വിരല്‍,,
finish,,,തീര്‍ക്കുക,,
fire,,,തീ,,
fireworks,,,വെടിക്കെട്ട്,,
firm,,,ഉറച്ച,,
flat,,,പരന്ന,,
flatten,,,പരത്തുക,,
flee,,,തടിതപ്പുക,,
flesh,,,ഇറച്ചി,,
flight,,,പറക്കല്‍,,
float,,,പൊങ്ങിക്കിടക്കുക,,
flood,,,വെള്ളപ്പൊക്കം,,
floor,,,തറ,,
flow,,,ഒഴുകുക/ഒഴുക്ക്,,
flowchart,,,ഒഴുക്കുപടം,,
flower,,,പൂവ്,,
fluid,,,നീര്,,
fly,,,ഈച്ച/പറക്കുക,,
flyover,,,മേല്‍പ്പാത,,
focus,,,നോട്ടപ്പതിപ്പ്,,
fold,,,മടക്കുക,,
folk,,,ഊരാളര്‍,,
follow,,,പിന്തുടരുക,,
following,,,പിന്തുടരുന്നു,,
food,,,തീറ്റ/ഊട്ട്/തീന്‍,,
foot,,,കാല്‍,,
football,,,കാല്‍പ്പന്ത്‌,,
for,,,വേണ്ടി,,
force,,,ഊക്കം,,
forehead,,,നെറ്റി,,
foreign,,,വെളിനാട്ട്,,
forest,,,കാട്,,
forever,,,എന്നെന്നേക്കും,,
forget,,,മറക്കുക,,
forgive,,,പൊറുക്കുക,,
forgiveness,,,മാപ്പ്,,
form,,,ഉരുവം/വടിവ്,,
formal,,,മുറപ്പടി,,
formation,,,നില്‍പ്പുരുവം,,
former,,,മുന്‍പത്തെ,,
formula,,,കണക്കുരുവം,,
forth,,,മുന്നില്‍,,
fortune,,,,,
forward,,,മുന്നോട്ട്/മുന്നോക്കം,,
foster,,,പോറ്റുക,,
found,,,കണ്ടുപിടിച്ചു,,
foundation,,,അടിത്തറ,,
founder,,,പണിതവര്‍,,
four,,,നാല്,,
fourth,,,നാലാമത്തെ,,
frame,,,പുറംചട്ട,,
framework,,,ചട്ടക്കൂട്,,
free,,,വിടുതികൊണ്ട/വിലയറ്റ,,
freedom,,,വിടുതി,,
freeze,,,ഉറയ്ക്കുക,,
French,,,ഫ്രഞ്ച്/പിരന്തിര,,
frequency,,,പതിവ്,,
frequent,,,പതിവായ,,
frequently,,,അടിക്കടി,,
fresh,,,പുതിയ,,
friend,,,ചങ്ങാതി/കൂട്ടുകാരന്‍,,
friendly,,,ചങ്ങാത്തത്തോടെയുള്ള,,
friendship,,,ചങ്ങാത്തം,,
from,,,അതില്‍ നിന്നും,,
front,,,മുന്നില്‍,,
froth,,,പത/നുര,,
fruit,,,പഴം/കനി,,
frustration,,,കലിപ്പ്,,
fuel,,,എരിക്കോപ്പ്,,
full,,,മുഴുവന്‍,,
fully,,,മുഴുവനായി,,
fun,,,,,
function,,,പങ്കുമുറ/ഇയങ്ങുക,,
fund,,,മുതല്‍,,
fundamental,,,അടിത്തറ,,
funding,,,മുതല്‍മുടക്ക്,,
funeral,,,അടക്ക്,,
funny,,,തമാശ,,
furniture,,,മരയുരുപ്പടികൾ,,
furthermore,,,കൂടാതെ,,
future,,,വരുംകാലം,,
gain,,,നേട്ടം,,
galaxy,,,,,
gallery,,,കാണിയിടം,,
game,,,കളി,,
gang,,,കൂട്ടം,,
gap,,,വിടവ്,,
garage,,,വണ്ടിനിലവറ,,
garden,,,പൂന്തോട്ടം,,
garlic,,,വെളുത്തുള്ളി,,
gas,,,എരിക്കാറ്റ്,,
gate,,,കവാടം,,
gather,,,കൂടിചേരുക,,
gay,,,,,
gaze,,,നോട്ടം,,
gear,,,കുറ്റി,,
gender,,,കുറി,,
gene,,,,,
general,,,പൊതു,,
generally,,,പൊതുവേ,,
generate,,,ഉണ്ടാക്കുക,,
generation,,,തലമുറ,,
genetic,,,,,
genetic,,,,,
genome,,,,,
gentleman,,,ആണ്‍,,
gently,,,പതിയെ,,
German,,,ജര്‍മ്മന്‍,,
gesture,,,ചെയ്ത്ത്,,
get,,,കിട്ടുക/നേടുക,,
ghost,,,പേ,,
giant,,,കൂറ്റന്‍,,
gift,,,കൈമടക്ക്/പൊലിയുക,,
gifted,,,കഴിവുള്ള,,
girl,,,പെണ്‍കുട്ടി,,
girlfriend,,,അകമുടയാള്‍,,
give,,,കൊടുക്കുക/നല്‍കുക,,
given,,,കൊടുക്കപ്പെട്ട/നല്‍കിയ,,
glass,,,ചില്ല്,,
glove,,,കൈയുറ,,
glue,,,പശ,,
govern,,,കൈയാളുക,,
grab,,,പിടിക്കുക,,
grade,,,തരം,,
gradually,,,മെല്ലേ,,
graduate,,,,,
grain,,,"അരി (eg.മുളയരി, നെല്ല്)",,
grand,,,മൂത്ത,,
grandfather,,,മുത്തശ്ശന്‍,,
grandmother,,,മുത്തശ്ശി,,
grant,,,കൊടുക്കുക,,
grass,,,പുല്ല്,,
grave,,,കല്ലറ,,
gray,,,ചാരനിറം,,
great,,,മികച്ച,,
greatest,,,ഏറ്റവുംമികച്ച,,
greed,,,കൊടുംകൊതി,,
green,,,പച്ച,,
grind,,,അരയ്ക്കുക/പൊടിക്കുക,,
grocery,,,പലചരക്ക്,,
ground,,,തറ/നിലം,,
group,,,കൂട്ടം,,
grow,,,വളരുക,,
growing,,,വളരുന്നു,,
growl,,,മുരള്‍ച്ച,,
growth,,,വളര്‍ച്ച,,
guarantee,,,ഉറപ്പ്,,
guard,,,കാക്കുക,,
guess,,,ഊടം,,
guest,,,വിരുന്നുകാരന്‍,,
guide,,,വഴികാട്ടി,,
guideline,,,മുറ,,
guilty,,,കുറ്റമേല്‍ക്കുക,,
gum,,,പശ,,
gun,,,തോക്ക്,,
guy,,,പയ്യന്‍,,
habit,,,വഴക്കം,,
habitat,,,പാര്‍പ്പിടം,,
hair,,,മുടി,,
half,,,പകുതി/പാതി/അര,,
hall,,,,,
hammer,,,ചുറ്റിക,,
hand,,,കൈ,,
handful,,,കൈനിറയെ,,
handle,,,പിടി,,
hang,,,തൂങ്ങുക,,
happen,,,നടക്കുക/ഇടയുണ്ടാകുക,,
happy,,,മകിഴ്,,
hard,,,പാട്/കട്ടി/കടുത്ത,,
hardly,,,തീരെ,,
hat,,,തൊപ്പി,,
hate,,,വെറുപ്പ്,,
have,,,കൈയിലുണ്ടാകുക,,
he,,,അവന്‍,,
head,,,തല,,
headline,,,തലയുരി,,
headquarters,,,ഇടിപ്പിടം/തലയിടം,,
health,,,കെല്‍പ്പ്,,
healthy,,,കെല്‍പ്പുള്ള,,
hear,,,കേള്‍ക്കുക,,
hearing,,,കേള്‍വി,,
heart,,,ചങ്ക്,,
heartbeat,,,ചങ്കുതുടിപ്പ്,,
heat,,,ചൂട്,,
heaven,,,വിണ്ണ്,,
heavily,,,ഉറക്കെ,,
heavy,,,കനമുള്ള,,
heel,,,ഉപ്പുറ്റി/മടമ്പ്,,
height,,,ഉയരം/പൊക്കം,,
helicopter,,,കറങ്ങോടം,,
hell,,,കീഴുലകം,,
hello,,,വണക്കം,,
help,,,കൈത്താങ്ങ്/തുണ/ഉതക്കം,,
helpful,,,കൈത്താങ്ങായ,,
her,,,അവളെ,,
here,,,ഇവിടെ,,
heritage,,,പഴമ,,
hero,,,,,
herself,,,അവള്‍ തന്നെ,,
hide,,,ഒളിക്കുക/മറയ്ക്കുക,,
high,,,ഉയര്‍ന്ന,,
highlight,,,അടയാളപ്പെടുത്തല്‍,,
highly,,,വളരെ,,
highway,,,പെരുമ്പാത,,
hijack,,,റാഞ്ചുക,,
hill,,,കുന്ന്,,
him,,,അവനെ,,
himself,,,അവന്‍ തന്നെ,,
hip,,,ഇടുപ്പ്/അര,,
hire,,,വാടക,,
his,,,അവന്‍റെ,,
historian,,,പഴമകറ്റവര്‍,,
historic,,,പഴമയുള്ള,,
historical,,,പഴയകാല,,
history,,,പഴയകാലം/പഴപ്പാട്,,
hit,,,അടിക്കുക,,
hold,,,പിടിക്കുക,,
hole,,,തുള/ഓട്ട/കുഴി,,
holiday,,,ഒഴിവുനാള്‍/മുടക്ക്,,
holy,,,,,
home,,,വീട്,,
homeless,,,വീടില്ലാത്ത,,
honest,,,നെറിയുള്ള,,
honey,,,തേന്‍,,
honor,,,മാനം,,
hope,,,,,
horizon,,,അതിര്,,
horror,,,പേടിപ്പെടുത്തുന്നത്,,
horse,,,കുതിര,,
hospital,,,ആശുപത്രി,,
host,,,വരവേല്‍പ്പവര്‍,,
hot,,,ചൂട്,,
hotel,,,ഹോട്ടല്‍,,
hour,,,മണിക്കൂര്‍,,
house,,,വീട്/പുര,,
household,,,കുടുംബം,,
housing,,,പാര്‍പ്പിടം,,
how,,,എങ്ങിനെ,,
however,,,എന്നിരുന്നാലും,,
huge,,,കൂറ്റന്‍,,
human,,,ആള്‍/മാന്തര്‍/ഇമ്പര്‍,,
humidity,,,ഈര്‍പ്പം,,
humility,,,അടക്കം/താഴ്മ,,
humor,,,,,
hundred,,,നൂറ്,,
hungry,,,വിശപ്പ്,,
hunter,,,വേട്ടക്കാരന്‍,,
hunting,,,വേട്ടയാടുക/നായാട്ട്,,
hurry,,,തിടുക്കം,,
hurt,,,പരിക്കേല്‍പ്പിക്കുക,,
husband,,,അകത്താൻ,,
hypothesis,,,,,
identical,,,ഒരേപോലത്തെ,,
ignorance,,,അറിവില്ലായ്മ,,
ignore,,,കണ്ടില്ലെന്ന് നടിക്കുക,,
ill,,,ചീത്ത,,
illegal,,,ചട്ടത്തിനെതിരെ,,
illness,,,വയ്യായ്ക,,
immerse,,,മുഴുകുക,,
impersonation,,,ആള്‍മാറാട്ടം,,
import,,,ഇറക്കുമതി,,
importance,,,തലക്കം,,
impose,,,അടിച്ചേല്‍പ്പിക്കുക,,
impossible,,,നടക്കാത്തത്,,
impress,,,,,
impression,,,തോന്നല്‍,,
impressive,,,മികച്ച,,
incentive,,,ഇനാം (അറബി),,
incident,,,,,
include,,,ഉള്‍പ്പെടുത്തുക/ചേര്‍ക്കുക,,
including,,,ഉള്‍പ്പെടെ,,
income,,,വരവ്,,
incorporate,,,ഉള്‍പ്പെടുത്തുക,,
increase,,,കൂടുക,,
increased,,,കൂടി,,
increasing,,,കൂടുന്ന,,
increasingly,,,കൂടുതലായി,,
incredible,,,കിടിലന്‍,,
indeed,,,തീര്‍ച്ചയായും,,
independence,,,വിടുതി,,
independent,,,വിടുതികൊണ്ട,,
index,,,ചൂണ്ട്,,
Indian,,,ഇന്‍ഡ്യന്‍,,
indicate,,,അടയാളപ്പെടുത്തുക,,
indication,,,അടയാളം,,
indicator,,,നിലകാട്ടി,,
individual,,,തനിത്തനി,,
indulge,,,മുഴുകുക,,
industrial,,,,,
industry,,,,,
infant,,,കൈക്കുഞ്ഞ്,,
infection,,,പഴുപ്പ്,,
infinite,,,അളവറ്റ,,
inflation,,,പണപ്പെരുപ്പം,,
influence,,,,,
inform,,,അറിയിക്കുക,,
information,,,അറിവ്/വിവരം,,
ingredient,,,ചേരുവ,,
initial,,,തുടക്കം,,
initially,,,തുടക്കത്തില്‍,,
initiative,,,തുടക്കംകുറിക്കല്‍/മുതിര്‍ച്ച,,
injection,,,കുത്തിവയ്പ്,,
injury,,,പരുക്ക്,,
injustice,,,നെറികേട്,,
inner,,,അകത്തെ,,
innocent,,,പാവം/കുറ്റമറ്റ,,
innovation,,,പുതുമ,,
input,,,അകത്തൂട്ട്,,
inquiry,,,തിരച്ചില്‍,,
inside,,,അകത്ത്,,
insight,,,ഉള്‍ക്കാഴ്ച,,
insist,,,വാശിപിടിക്കുക,,
inspire,,,,,
install,,,നിറയ്ക്കുക,,
instance,,,എടുത്തുകാട്ടല്‍,,
instead,,,പകരം,,
institution,,,,,
institutional,,,,,
instruction,,,ചെയ്മുറ,,
instructor,,,,,
instrument,,,കരിവി,,
insufficient,,,പോരാ,,
insult,,,ഇകഴ്ത്തുക,,
insurance,,,ഉറപ്പീട്,,
intellectual,,,അറിവാളത്തം,,
intelligence,,,അറിവ്,,
intend,,,,,
intense,,,കനത്ത,,
intensity,,,കനപ്പ്,,
intention,,,,,
interaction,,,ഇടപഴകല്‍,,
interest,,,പലിശ/കുറുപാട്/കമ്പം,,
interested,,,,,
interesting,,,കളിയുണര്‍ത്തുന്ന,,
interference,,,ഇടപെടല്‍,,
internal,,,ഉള്‍,,
international,,,പലനാട്ട്,,
Internet,,,,,
interpret,,,,,
interpretation,,,,,
interruption,,,ഇടതടവ്,,
intervention,,,ഇടപെടല്‍,,
interview,,,കൂടിക്കാഴ്ച,,
into,,,അതിലേക്ക്,,
introduce,,,നടപ്പിലാക്കുക,,
introduction,,,,,
intrude,,,നുഴഞ്ഞുകയറുക,,
intrusion,,,നുഴഞ്ഞുകയറ്റം,,
invasion,,,കടന്നുകയറ്റം,,
invest,,,പണമിറക്കുക/ഈടുവെപ്പ്,,
investigate,,,തിരയുക,,
investigation,,,തിരച്ചില്‍/ആരാഴ്ചി,,
investigator,,,ആരാച്ചികന്‍,,
investment,,,മുതല്‍മുടക്ക്,,
investor,,,മുതലിറപ്പോര്‍,,
invite,,,വിളിക്കുക,,
involve,,,ഇടപെടുക,,
involved,,,ഇടപെട്ട,,
involvement,,,ഇടപെടല്‍,,
Iraqi,,,ഇറാഖി,,
Irish,,,ഐറിഷ്,,
iron,,,ഇരുമ്പ്,,
Islamic,,,ഇസ്ലാമിക,,
island,,,തുരുത്ത്,,
Israeli,,,ഇസ്രായേലി,,
issue,,,കുഴപ്പം,,
it,,,അത്,,
Italian,,,ഇറ്റാലിയന്‍,,
itch,,,ചൊറിയുക,,
item,,,ഉരുപ്പടി,,
its,,,അതിന്‍റെ,,
itself,,,തന്നെത്താന്‍,,
jacket,,,മേലങ്കി,,
jail,,,തടവറ,,
Japanese,,,ജാപ്പനീസ്,,
javelin,,,കുന്തം,,
javelin throw,,,കുന്തമേറ്,,
jealousy,,,കുശുമ്പ്,,
jet,,,ചീറ്റുക,,
Jew,,,ജൂതന്‍,,
Jewish,,,ജൂത,,
job,,,ജോലി/പണി,,
join,,,ചേര്‍ക്കുക,,
joint,,,ചേര്‍പ്പ്‌,,
joke,,,തമാശ,,
journal,,,,,
journalist,,,,,
journey,,,വഴിപോക്ക്,,
joy,,,മകിഴ്മ,,
judge,,,നെറിവാളി,,
judgment,,,നെറിവുപറച്ചില്‍,,
juice,,,പഴച്ചാറ്,,
jump,,,ചാടുക,,
junior,,,ഇളയവര്‍,,
jury,,,നെറിവാളര്‍,,
justice,,,നെറിവ്,,
kid,,,കുട്ടി,,
kidnap,,,തട്ടിക്കൊണ്ടുപോകല്‍,,
kick,,,തൊഴി/തൊഴിക്കുക,,
kindergarten,,,എഴുത്തുപള്ളികൂടം,,
kiss,,,മുത്തം/ഉമ്മ വയ്ക്കുക,,
landscape,,,,,
language,,,മൊഴി,,
lap,,,മടി,,
large,,,കൂറ്റന്‍,,
largely,,,ഏറെക്കുറേ,,
last,,,ഒടുക്കം,,
late,,,വൈകി,,
later,,,പിന്നീട്,,
Latin,,,ലത്തീന്‍,,
latter,,,ഒടുക്കത്തേത്,,
laugh,,,ചിരിക്കുക',,
launch,,,തൊടുക്കുക,,
law,,,ചട്ടം,,
lawn,,,മുറ്റം,,
lawsuit,,,വക്കാലത്ത്,,
lawyer,,,വക്കീല്‍,,
lay,,,കിടക്കുക,,
layer,,,പാളി,,
laziness,,,മടി,,
lead,,,മുന്നിടുക,,
leader,,,വഴികാട്ടി,,
leadership,,,വഴികാട്ടല്‍,,
leading,,,മുന്നിട്ട് നില്‍ക്കുന്ന,,
leaf,,,ഇല,,
league,,,,,
lean,,,മെലിഞ്ഞ/മെലിയുക,,
learn,,,കല്‍ക്കുക,,
learning,,,കറ്റല്‍,,
least,,,ഏറ്റവും കുറഞ്ഞ,,
leather,,,തുകല്‍,,
leave,,,വിടുക,,
left,,,ഇടത്,,
leg,,,കാല്‍,,
legacy,,,വീരക്കഥ,,
legal,,,ചട്ടമുറ,,
legend,,,പഴങ്കഥ,,
legislation,,,ചട്ടം ചമയ്ക്കല്‍,,
legitimate,,,ചട്ടമുറയ്ക്കുള്ള,,
lemon,,,നാരങ്ങ,,
length,,,നീളം,,
less,,,കുറവ്,,
lesson,,,,,
let,,,വിടുക,,
letter,,,കത്ത്,,
level,,,തലം/നില/നിരപ്പ്,,
liberal,,,വിടുതല്‍കൊണ്ട,,
library,,,ഏടകം,,
license,,,,,
lie,,,നുണ/കള്ളം,,
life,,,പൊറുതി/ഉയിര്,,
lifestyle,,,ഉയിര്‍മുറ,,
lifetime,,,ഉയിര്‍ക്കാലം,,
lift,,,ഉയര്‍ത്തുക/ഏറ്റുമുറി/ഏറ്റി,,
light,,,ഒളി,,
like,,,പോലെ/ഇമ്പം/ഇമ്പപ്പെടുക,,
likely,,,ഇടയുള്ള,,
limit,,,അതിര്‍ത്തി,,
limitation,,,അതിര്/പോരായ്മ,,
limited,,,തടസ്സപെട്ട,,
line,,,വര/വരി,,
link,,,കണ്ണി,,
lip,,,ചുണ്ട്,,
list,,,പട്ടിക,,
liver,,,കരള്‍,,
loan,,,കടം/വായ്പ,,
local,,,നാടന്‍,,
locate,,,കണ്ടുപിടിക്കുക,,
location,,,ഇടം,,
lock,,,പൂട്ട്,,
long,,,നീണ്ട,,
long-term,,,നീണ്ടകാല/നീണാള്‍,,
look,,,നോക്കുക,,
loophole,,,പഴുത്,,
loose,,,അഴിഞ്ഞ,,
lose,,,തോല്‍ക്കുക,,
loss,,,കോട്ടം,,
lost,,,തോറ്റു,,
lot,,,നിറയേ/ഒരുപാട്/കുറേ,,
lots,,,നിറയേ/ഒരുപാട്/കുറേ,,
loud,,,ഉച്ചത്തില്‍/ഉറക്കെ,,
love,,,അന്‍പ്/ഉറവ്,,
lovely,,,അന്‍പാര്‍ന്ന,,
lover,,,അന്‍പന്‍,,
low,,,താണനില,,
lower,,,താണ/താഴത്തെ,,
luck,,,ഊഴ്,,
lucky,,,ഊഴുറ്റ,,
lunch,,,ഉച്ചയൂണ്,,
lung,,,,,
luxury,,,കൊലുമ/പകിട്ട്,,
machine,,,തിരാണ്ടം,,
mad,,,വട്ട്,,
magazine,,,,,
mail,,,തപാല്‍,,
main,,,തലക്കമുള്ള,,
mainly,,,തലക്കമായി,,
maintain,,,അറ്റകുറ്റപ്പണി ചെയ്യുക,,
maintenance,,,അറ്റകുറ്റപ്പണി,,
major,,,ഉയര്‍ന്ന,,
majority,,,ഏറിയപങ്ക്,,
make,,,ഉണ്ടാക്കുക,,
maker,,,ചമയ്പ്പാളി,,
makeup,,,മുഖംമിനുക്കി,,
male,,,ആണ്‍,,
mall,,,,,
mammal,,,പെറുംമാക്,,
man,,,ആണ്‍/ആള്‍,,
manage,,,കൈയാളുക,,
management,,,പൊഴുതി,,
manager,,,മേലാളന്‍/പൊഴുതിക്കാരന്‍,,
manner,,,മട്ട്,,
manufacturer,,,ചമയ്പ്പാളി,,
manufacturing,,,ചമയ്പ്പ്,,
many,,,പല,,
map,,,വഴിപ്പടം,,
margin,,,അരിക്,,
mark,,,പാട്/അടയാളം,,
market,,,ചന്ത/അങ്ങാടി,,
marketing,,,വില്‍പ്പനപ്പാട്,,
marriage,,,മിന്നുകെട്ട്,,
married,,,മിന്നുകെട്ടിയ,,
marry,,,മിന്നുകെട്ടുക,,
mask,,,പൊയ്മുഞ്ഞി/മുഞ്ഞിമൂടി,,
mass,,,കനം,,
massage,,,ഉഴിച്ചില്‍/തിരുമ്മല്‍,,
massive,,,കൂറ്റന്‍,,
master,,,ആശാന്‍,,
match,,,"പൊരുത്തം, ഉടപ്പം",,
material,,,,,
math,,,കണക്ക്,,
matter,,,തുറം,,
may,,,കഴിയും,,
maybe,,,ഒരുപക്ഷേ,,
mayor,,,നാടുവാഴി,,
me,,,എന്നെ,,
meal,,,ഊണ്,,
mean,,,ശരാശരി,,
meaning,,,പൊരുള്‍,,
meanwhile,,,അതേനേരം,,
measure,,,അളവ്/അളക്കുക,,
meeting,,,കണ്ടുമുട്ടല്‍/കൂടിക്കാഴ്ച,,
member,,,അണി,,
membership,,,അണിചേരല്‍,,
memory,,,ഓര്‍മ്മ,,
mental,,,,,
mention,,,പേരുകുറിക്കുക,,
mentor,,,നേരുകാട്ടി,,
menu,,,തീന്‍പട്ടിക,,
mere,,,വെറും,,
merely,,,വെറും,,
mess,,,കച്ചര,,
message,,,നേര്‍ക്കുറിപ്പ്,,
metal,,,,,
meter,,,അളവുകോല്‍,,
method,,,മുറ,,
